investor_id,gap_days,status
INV000147,116.0,At-Risk
INV000148,52.0,At-Risk
INV000150,100.75,At-Risk
INV000151,136.5,At-Risk
INV000152,,Healthy
INV000153,44.0,At-Risk
INV000154,64.0,At-Risk
INV000155,37.333333333333336,At-Risk
INV000156,159.66666666666666,At-Risk
INV000158,103.0,At-Risk
INV000159,201.0,At-Risk
INV000160,37.0,At-Risk
INV000161,73.0,At-Risk
INV000162,435.0,At-Risk
INV000163,61.0,At-Risk
INV000164,61.8,At-Risk
INV000165,141.66666666666666,At-Risk
INV000166,166.0,At-Risk
INV000167,97.5,At-Risk
INV000168,,Healthy
INV000169,67.83333333333333,At-Risk
INV000170,18.0,Healthy
INV000171,98.0,At-Risk
INV000172,133.33333333333334,At-Risk
INV000173,57.666666666666664,At-Risk
INV000174,119.5,At-Risk
INV000175,83.66666666666667,At-Risk
INV000176,201.5,At-Risk
INV000177,65.42857142857143,At-Risk
INV000178,230.0,At-Risk
INV000179,39.75,At-Risk
INV000180,61.8,At-Risk
INV000181,160.5,At-Risk
INV000182,70.5,At-Risk
INV000183,56.125,At-Risk
INV000184,,Healthy
INV000185,196.0,At-Risk
INV000189,153.5,At-Risk
INV000190,55.0,At-Risk
INV000191,56.5,At-Risk
INV000192,99.75,At-Risk
INV000193,155.33333333333334,At-Risk
INV000194,58.0,At-Risk
INV000195,77.4,At-Risk
INV000196,69.0,At-Risk
INV000197,,Healthy
INV000198,,Healthy
INV000199,65.0,At-Risk
INV000200,113.66666666666667,At-Risk
INV000201,51.125,At-Risk
INV000202,348.0,At-Risk
INV000203,42.75,At-Risk
INV000204,48.0,At-Risk
INV000205,62.57142857142857,At-Risk
INV000206,,Healthy
INV000207,95.0,At-Risk
INV000208,,Healthy
INV000209,,Healthy
INV000210,70.71428571428571,At-Risk
INV000211,116.0,At-Risk
INV000212,,Healthy
INV000213,90.0,At-Risk
INV000214,94.8,At-Risk
INV000215,109.25,At-Risk
INV000216,61.333333333333336,At-Risk
INV000217,92.0,At-Risk
INV000218,,Healthy
INV000219,126.0,At-Risk
INV000220,100.75,At-Risk
INV000221,34.75,Healthy
INV000222,39.666666666666664,At-Risk
INV000223,114.75,At-Risk
INV000224,74.66666666666667,At-Risk
INV000225,125.33333333333333,At-Risk
INV000226,84.33333333333333,At-Risk
INV000227,108.0,At-Risk
INV000228,59.75,At-Risk
INV000229,67.75,At-Risk
INV000230,60.75,At-Risk
INV000231,47.0,At-Risk
INV000232,,Healthy
INV000233,,Healthy
INV000234,121.75,At-Risk
INV000235,74.33333333333333,At-Risk
INV000236,67.14285714285714,At-Risk
INV000237,,Healthy
INV000238,93.6,At-Risk
INV000239,48.857142857142854,At-Risk
INV000240,,Healthy
INV000241,110.5,At-Risk
INV000242,62.5,At-Risk
INV000243,88.2,At-Risk
INV000244,23.333333333333332,Healthy
INV000245,92.2,At-Risk
INV000246,92.33333333333333,At-Risk
INV000248,,Healthy
INV000249,45.5,At-Risk
INV000251,223.0,At-Risk
INV000252,50.4,At-Risk
INV000253,,Healthy
INV000254,249.0,At-Risk
INV000255,48.6,At-Risk
INV000256,70.2,At-Risk
INV000257,93.25,At-Risk
INV000258,,Healthy
INV000259,70.6,At-Risk
INV000260,59.57142857142857,At-Risk
INV000261,131.33333333333334,At-Risk
INV000262,53.57142857142857,At-Risk
INV000263,68.42857142857143,At-Risk
INV000264,,Healthy
INV000265,53.44444444444444,At-Risk
INV000266,101.0,At-Risk
INV000267,86.75,At-Risk
INV000268,62.333333333333336,At-Risk
INV000269,180.0,At-Risk
INV000270,130.0,At-Risk
INV000271,342.0,At-Risk
INV000272,96.33333333333333,At-Risk
INV000273,,Healthy
INV000274,100.75,At-Risk
INV000275,17.0,Healthy
INV000276,80.0,At-Risk
INV000277,,Healthy
INV000278,354.0,At-Risk
INV000279,43.375,At-Risk
INV000280,55.75,At-Risk
INV000281,,Healthy
INV000282,53.0,At-Risk
INV000283,68.0,At-Risk
INV000284,58.0,At-Risk
INV000285,140.0,At-Risk
INV000286,115.0,At-Risk
INV000287,69.83333333333333,At-Risk
INV000288,114.25,At-Risk
INV000289,62.714285714285715,At-Risk
INV000290,,Healthy
INV000291,89.0,At-Risk
INV000292,46.0,At-Risk
INV000293,47.0,At-Risk
INV000294,54.5,At-Risk
INV000295,8.0,Healthy
INV000296,158.0,At-Risk
INV000297,90.6,At-Risk
INV000298,92.5,At-Risk
INV000299,85.2,At-Risk
INV000300,76.5,At-Risk
INV000301,68.5,At-Risk
INV000302,,Healthy
INV000303,209.0,At-Risk
INV000304,70.0,At-Risk
INV000305,55.0,At-Risk
INV000306,76.0,At-Risk
INV000307,162.0,At-Risk
INV000308,117.0,At-Risk
INV000309,52.0,At-Risk
INV000310,75.83333333333333,At-Risk
INV000311,152.0,At-Risk
INV000312,119.75,At-Risk
INV000313,310.0,At-Risk
INV000314,69.0,At-Risk
INV000315,75.66666666666667,At-Risk
INV000316,86.75,At-Risk
INV000317,146.33333333333334,At-Risk
INV000318,97.4,At-Risk
INV000319,73.5,At-Risk
INV000320,70.0,At-Risk
INV000321,72.83333333333333,At-Risk
INV000322,121.0,At-Risk
INV000323,67.0,At-Risk
INV000325,227.0,At-Risk
INV000326,154.5,At-Risk
INV000327,50.0,At-Risk
INV000328,37.5,At-Risk
INV000329,88.66666666666667,At-Risk
INV000330,137.0,At-Risk
INV000331,50.714285714285715,At-Risk
INV000332,27.333333333333332,Healthy
INV000333,150.33333333333334,At-Risk
INV000334,25.5,Healthy
INV000335,96.0,At-Risk
INV000336,150.0,At-Risk
INV000337,103.5,At-Risk
INV000338,,Healthy
INV000339,94.0,At-Risk
INV000340,32.0,Healthy
INV000341,54.42857142857143,At-Risk
INV000342,,Healthy
INV000343,248.0,At-Risk
INV000344,30.5,Healthy
INV000345,,Healthy
INV000346,,Healthy
INV000347,,Healthy
INV000348,284.0,At-Risk
INV000349,106.33333333333333,At-Risk
INV000350,85.0,At-Risk
INV000351,86.5,At-Risk
INV000352,80.75,At-Risk
INV000353,,Healthy
INV000354,234.5,At-Risk
INV000355,,Healthy
INV000356,54.4,At-Risk
INV000357,85.5,At-Risk
INV000358,,Healthy
INV000359,54.125,At-Risk
INV000360,122.0,At-Risk
INV000361,98.0,At-Risk
INV000363,77.0,At-Risk
INV000364,94.5,At-Risk
INV000366,82.0,At-Risk
INV000367,56.333333333333336,At-Risk
INV000368,,Healthy
INV000369,43.8,At-Risk
INV000370,116.75,At-Risk
INV000371,59.285714285714285,At-Risk
INV000372,54.5,At-Risk
INV000373,48.0,At-Risk
INV000374,127.66666666666667,At-Risk
INV000376,,Healthy
INV000377,75.25,At-Risk
INV000378,117.5,At-Risk
INV000379,44.0,At-Risk
INV000380,97.0,At-Risk
INV000381,,Healthy
INV000382,,Healthy
INV000383,107.25,At-Risk
INV000384,78.25,At-Risk
INV000385,92.66666666666667,At-Risk
INV000386,,Healthy
INV000387,103.0,At-Risk
INV000388,53.625,At-Risk
INV000389,127.5,At-Risk
INV000390,135.5,At-Risk
INV000391,,Healthy
INV000392,77.16666666666667,At-Risk
INV000393,43.0,At-Risk
INV000394,90.0,At-Risk
INV000395,55.666666666666664,At-Risk
INV000396,83.2,At-Risk
INV000397,128.0,At-Risk
INV000399,49.55555555555556,At-Risk
INV000400,62.6,At-Risk
INV000401,21.333333333333332,Healthy
INV000402,94.0,At-Risk
INV000403,58.2,At-Risk
INV000404,,Healthy
INV000405,65.0,At-Risk
INV000406,,Healthy
INV000407,82.4,At-Risk
INV000408,46.8,At-Risk
INV000409,375.0,At-Risk
INV000410,92.25,At-Risk
INV000411,67.0,At-Risk
INV000412,43.714285714285715,At-Risk
INV000413,102.5,At-Risk
INV000414,66.28571428571429,At-Risk
INV000415,66.16666666666667,At-Risk
INV000416,119.0,At-Risk
INV000417,104.33333333333333,At-Risk
INV000418,86.8,At-Risk
INV000419,112.0,At-Risk
INV000420,,Healthy
INV000421,91.66666666666667,At-Risk
INV000422,,Healthy
INV000423,187.5,At-Risk
INV000424,,Healthy
INV000425,39.5,At-Risk
INV000426,39.0,At-Risk
INV000427,68.5,At-Risk
INV000428,52.142857142857146,At-Risk
INV000429,77.2,At-Risk
INV000430,148.66666666666666,At-Risk
INV000431,86.25,At-Risk
INV000432,216.0,At-Risk
INV000433,66.5,At-Risk
INV000434,,Healthy
INV000435,,Healthy
INV000436,73.0,At-Risk
INV000437,97.8,At-Risk
INV000438,184.0,At-Risk
INV000439,24.25,Healthy
INV000440,69.57142857142857,At-Risk
INV000441,60.8,At-Risk
INV000442,217.5,At-Risk
INV000443,373.0,At-Risk
INV000444,73.2,At-Risk
INV000445,57.75,At-Risk
INV000446,38.6,At-Risk
INV000449,46.8,At-Risk
INV000450,,Healthy
INV000452,49.375,At-Risk
INV000453,98.0,At-Risk
INV000454,232.5,At-Risk
INV000455,75.0,At-Risk
INV000456,45.25,At-Risk
INV000457,91.4,At-Risk
INV000458,81.75,At-Risk
INV000459,82.0,At-Risk
INV000460,43.4,At-Risk
INV000461,67.5,At-Risk
INV000462,79.0,At-Risk
INV000463,65.16666666666667,At-Risk
INV000465,102.66666666666667,At-Risk
INV000466,73.33333333333333,At-Risk
INV000467,56.666666666666664,At-Risk
INV000468,,Healthy
INV000469,70.5,At-Risk
INV000470,401.0,At-Risk
INV000471,121.0,At-Risk
INV000472,,Healthy
INV000473,105.0,At-Risk
INV000474,103.5,At-Risk
INV000475,90.0,At-Risk
INV000476,10.0,Healthy
INV000477,,Healthy
INV000478,61.0,At-Risk
INV000479,99.0,At-Risk
INV000480,105.0,At-Risk
INV000481,156.33333333333334,At-Risk
INV000482,133.5,At-Risk
INV000483,70.42857142857143,At-Risk
INV000484,,Healthy
INV000485,138.66666666666666,At-Risk
INV000487,88.25,At-Risk
INV000488,102.33333333333333,At-Risk
INV000489,66.0,At-Risk
INV000490,231.0,At-Risk
INV000491,95.0,At-Risk
INV000492,145.33333333333334,At-Risk
INV000493,47.55555555555556,At-Risk
INV000494,74.0,At-Risk
INV000495,24.75,Healthy
INV000496,81.25,At-Risk
INV000497,71.83333333333333,At-Risk
INV000498,,Healthy
INV000499,77.83333333333333,At-Risk
INV000500,133.0,At-Risk
INV000501,100.5,At-Risk
INV000502,,Healthy
INV000503,,Healthy
INV000504,,Healthy
INV000505,93.33333333333333,At-Risk
INV000506,71.5,At-Risk
INV000507,70.16666666666667,At-Risk
INV000509,61.0,At-Risk
INV000510,190.0,At-Risk
INV000511,132.66666666666666,At-Risk
INV000512,54.75,At-Risk
INV000513,103.0,At-Risk
INV000514,100.66666666666667,At-Risk
INV000516,,Healthy
INV000517,20.0,Healthy
INV000518,,Healthy
INV000519,108.0,At-Risk
INV000520,64.5,At-Risk
INV000521,70.0,At-Risk
INV000522,100.8,At-Risk
INV000523,92.25,At-Risk
INV000524,55.0,At-Risk
INV000525,68.75,At-Risk
INV000526,47.5,At-Risk
INV000527,50.8,At-Risk
INV000528,,Healthy
INV000529,59.2,At-Risk
INV000530,104.0,At-Risk
INV000531,47.0,At-Risk
INV000532,73.0,At-Risk
INV000533,148.0,At-Risk
INV000534,,Healthy
INV000535,154.0,At-Risk
INV000536,25.0,Healthy
INV000537,200.0,At-Risk
INV000538,39.5,At-Risk
INV000539,77.0,At-Risk
INV000540,73.5,At-Risk
INV000541,56.0,At-Risk
INV000542,164.33333333333334,At-Risk
INV000543,83.66666666666667,At-Risk
INV000544,99.33333333333333,At-Risk
INV000545,80.6,At-Risk
INV000546,55.0,At-Risk
INV000547,55.8,At-Risk
INV000548,133.66666666666666,At-Risk
INV000549,96.2,At-Risk
INV000550,149.0,At-Risk
INV000551,160.0,At-Risk
INV000552,116.0,At-Risk
INV000553,72.0,At-Risk
INV000554,70.2,At-Risk
INV000555,58.0,At-Risk
INV000556,52.42857142857143,At-Risk
INV000557,102.5,At-Risk
INV000558,74.66666666666667,At-Risk
INV000559,50.0,At-Risk
INV000560,62.0,At-Risk
INV000561,,Healthy
INV000562,74.4,At-Risk
INV000563,76.33333333333333,At-Risk
INV000564,162.0,At-Risk
INV000565,181.0,At-Risk
INV000566,35.0,Healthy
INV000567,63.8,At-Risk
INV000568,62.4,At-Risk
INV000569,77.75,At-Risk
INV000570,67.28571428571429,At-Risk
INV000571,,Healthy
INV000572,224.0,At-Risk
INV000573,50.833333333333336,At-Risk
INV000574,6.0,Healthy
INV000575,71.6,At-Risk
INV000576,76.0,At-Risk
INV000577,32.25,Healthy
INV000578,66.83333333333333,At-Risk
INV000579,,Healthy
INV000580,55.75,At-Risk
INV000581,78.33333333333333,At-Risk
INV000583,32.5,Healthy
INV000584,111.75,At-Risk
INV000585,74.0,At-Risk
INV000586,44.5,At-Risk
INV000587,49.5,At-Risk
INV000588,,Healthy
INV000589,59.125,At-Risk
INV000590,114.0,At-Risk
INV000591,64.5,At-Risk
INV000592,109.66666666666667,At-Risk
INV000593,74.2,At-Risk
INV000594,,Healthy
INV000595,104.25,At-Risk
INV000596,51.75,At-Risk
INV000597,88.6,At-Risk
INV000598,124.33333333333333,At-Risk
INV000599,81.5,At-Risk
INV000600,148.0,At-Risk
INV000601,73.5,At-Risk
INV000602,103.0,At-Risk
INV000603,132.66666666666666,At-Risk
INV000604,127.66666666666667,At-Risk
INV000605,,Healthy
INV000606,98.66666666666667,At-Risk
INV000607,66.66666666666667,At-Risk
INV000608,100.2,At-Risk
INV000609,47.0,At-Risk
INV000611,86.5,At-Risk
INV000612,49.3,At-Risk
INV000613,236.0,At-Risk
INV000614,3.0,Healthy
INV000615,55.833333333333336,At-Risk
INV000616,123.0,At-Risk
INV000617,,Healthy
INV000618,7.0,Healthy
INV000619,45.0,At-Risk
INV000620,,Healthy
INV000621,350.0,At-Risk
INV000622,89.5,At-Risk
INV000623,122.66666666666667,At-Risk
INV000624,31.666666666666668,Healthy
INV000625,86.4,At-Risk
INV000626,116.5,At-Risk
INV000627,,Healthy
INV000628,304.0,At-Risk
INV000629,113.33333333333333,At-Risk
INV000630,68.66666666666667,At-Risk
INV000631,54.0,At-Risk
INV000632,,Healthy
INV000633,107.75,At-Risk
INV000634,52.25,At-Risk
INV000635,75.0,At-Risk
INV000636,56.0,At-Risk
INV000637,38.0,At-Risk
INV000638,165.66666666666666,At-Risk
INV000639,84.0,At-Risk
INV000640,,Healthy
INV000641,54.8,At-Risk
INV000642,53.5,At-Risk
INV000643,103.0,At-Risk
INV000644,11.333333333333334,Healthy
INV000645,66.0,At-Risk
INV000646,62.333333333333336,At-Risk
INV000647,,Healthy
INV000648,65.33333333333333,At-Risk
INV000649,92.25,At-Risk
INV000650,217.0,At-Risk
INV000651,94.0,At-Risk
INV000652,93.8,At-Risk
INV000653,164.0,At-Risk
INV000654,,Healthy
INV000656,141.0,At-Risk
INV000657,64.71428571428571,At-Risk
INV000658,94.75,At-Risk
INV000659,166.66666666666666,At-Risk
INV000660,52.5,At-Risk
INV000661,105.75,At-Risk
INV000662,66.14285714285714,At-Risk
INV000663,94.4,At-Risk
INV000664,91.66666666666667,At-Risk
INV000665,36.22222222222222,At-Risk
INV000666,77.25,At-Risk
INV000667,68.0,At-Risk
INV000668,254.0,At-Risk
INV000669,,Healthy
INV000670,99.0,At-Risk
INV000671,125.0,At-Risk
INV000672,33.0,Healthy
INV000673,92.8,At-Risk
INV000674,,Healthy
INV000675,62.8,At-Risk
INV000676,35.3,At-Risk
INV000677,,Healthy
INV000678,63.333333333333336,At-Risk
INV000679,68.0,At-Risk
INV000680,158.0,At-Risk
INV000681,137.5,At-Risk
INV000682,374.0,At-Risk
INV000683,54.5,At-Risk
INV000684,201.5,At-Risk
INV000685,,Healthy
INV000686,,Healthy
INV000687,177.0,At-Risk
INV000688,81.0,At-Risk
INV000689,74.25,At-Risk
INV000690,56.285714285714285,At-Risk
INV000691,66.4,At-Risk
INV000692,,Healthy
INV000693,378.0,At-Risk
INV000695,86.5,At-Risk
INV000696,104.66666666666667,At-Risk
INV000698,52.25,At-Risk
INV000699,42.8,At-Risk
INV000700,60.5,At-Risk
INV000701,83.66666666666667,At-Risk
INV000702,287.0,At-Risk
INV000703,173.0,At-Risk
INV000704,101.25,At-Risk
INV000705,247.0,At-Risk
INV000706,93.5,At-Risk
INV000707,34.375,Healthy
INV000708,131.66666666666666,At-Risk
INV000709,65.16666666666667,At-Risk
INV000710,88.6,At-Risk
INV000711,130.66666666666666,At-Risk
INV000713,114.5,At-Risk
INV000714,37.0,At-Risk
INV000715,58.75,At-Risk
INV000716,,Healthy
INV000717,155.33333333333334,At-Risk
INV000718,57.833333333333336,At-Risk
INV000719,72.83333333333333,At-Risk
INV000720,123.75,At-Risk
INV000721,52.0,At-Risk
INV000722,114.0,At-Risk
INV000723,108.25,At-Risk
INV000724,81.2,At-Risk
INV000725,67.66666666666667,At-Risk
INV000726,151.0,At-Risk
INV000727,13.0,Healthy
INV000728,37.75,At-Risk
INV000729,146.33333333333334,At-Risk
INV000730,,Healthy
INV000731,19.0,Healthy
INV000732,82.0,At-Risk
INV000733,355.0,At-Risk
INV000734,64.0,At-Risk
INV000735,143.33333333333334,At-Risk
INV000736,99.75,At-Risk
INV000737,92.6,At-Risk
INV000738,53.666666666666664,At-Risk
INV000739,68.66666666666667,At-Risk
INV000740,,Healthy
INV000741,89.75,At-Risk
INV000742,91.33333333333333,At-Risk
INV000743,158.0,At-Risk
INV000744,76.33333333333333,At-Risk
INV000745,144.0,At-Risk
INV000746,209.0,At-Risk
INV000747,84.6,At-Risk
INV000748,175.0,At-Risk
INV000749,111.25,At-Risk
INV000750,26.5,Healthy
INV000751,53.0,At-Risk
INV000752,197.0,At-Risk
INV000753,134.5,At-Risk
INV000754,72.33333333333333,At-Risk
INV000755,120.0,At-Risk
INV000756,78.0,At-Risk
INV000757,208.5,At-Risk
INV000758,113.5,At-Risk
INV000759,83.0,At-Risk
INV000760,148.0,At-Risk
INV000761,75.16666666666667,At-Risk
INV000762,118.0,At-Risk
INV000763,,Healthy
INV000764,100.75,At-Risk
INV000765,99.33333333333333,At-Risk
INV000766,177.5,At-Risk
INV000767,123.5,At-Risk
INV000768,60.0,At-Risk
INV000769,85.75,At-Risk
INV000770,,Healthy
INV000771,121.66666666666667,At-Risk
INV000772,46.0,At-Risk
INV000774,73.66666666666667,At-Risk
INV000775,73.33333333333333,At-Risk
INV000776,59.42857142857143,At-Risk
INV000777,66.0,At-Risk
INV000778,59.714285714285715,At-Risk
INV000779,75.0,At-Risk
INV000780,,Healthy
INV000781,83.0,At-Risk
INV000782,42.5,At-Risk
INV000783,89.8,At-Risk
INV000784,435.0,At-Risk
INV000785,32.6,Healthy
INV000786,64.125,At-Risk
INV000787,,Healthy
INV000788,105.0,At-Risk
INV000789,55.142857142857146,At-Risk
INV000790,,Healthy
INV000791,107.0,At-Risk
INV000792,271.0,At-Risk
INV000793,69.14285714285714,At-Risk
INV000794,,Healthy
INV000795,,Healthy
INV000796,146.5,At-Risk
INV000797,156.0,At-Risk
INV000798,,Healthy
INV000799,121.25,At-Risk
INV000800,144.66666666666666,At-Risk
INV000801,107.0,At-Risk
INV000802,,Healthy
INV000803,77.16666666666667,At-Risk
INV000804,160.5,At-Risk
INV000806,83.0,At-Risk
INV000808,208.0,At-Risk
INV000809,120.66666666666667,At-Risk
INV000810,85.5,At-Risk
INV000811,291.0,At-Risk
INV000813,121.33333333333333,At-Risk
INV000814,94.0,At-Risk
INV000815,266.0,At-Risk
INV000816,149.5,At-Risk
INV000818,422.0,At-Risk
INV000819,87.5,At-Risk
INV000820,207.0,At-Risk
INV000821,53.0,At-Risk
INV000822,55.5,At-Risk
INV000823,39.666666666666664,At-Risk
INV000824,211.0,At-Risk
INV000825,127.0,At-Risk
INV000826,214.0,At-Risk
INV000827,58.285714285714285,At-Risk
INV000828,,Healthy
INV000829,117.75,At-Risk
INV000830,72.2,At-Risk
INV000831,67.5,At-Risk
INV000832,251.0,At-Risk
INV000833,67.28571428571429,At-Risk
INV000834,130.0,At-Risk
INV000835,,Healthy
INV000836,84.8,At-Risk
INV000837,,Healthy
INV000838,176.0,At-Risk
INV000839,,Healthy
INV000840,191.0,At-Risk
INV000841,176.0,At-Risk
INV000842,,Healthy
INV000843,55.6,At-Risk
INV000844,66.16666666666667,At-Risk
INV000845,105.5,At-Risk
INV000846,181.0,At-Risk
INV000847,47.8,At-Risk
INV000848,,Healthy
INV000849,61.333333333333336,At-Risk
INV000850,41.5,At-Risk
INV000851,83.75,At-Risk
INV000852,215.0,At-Risk
INV000853,49.333333333333336,At-Risk
INV000854,61.25,At-Risk
INV000855,229.0,At-Risk
INV000856,78.25,At-Risk
INV000857,19.0,Healthy
INV000858,44.875,At-Risk
INV000859,264.0,At-Risk
INV000860,106.75,At-Risk
INV000861,106.75,At-Risk
INV000862,91.2,At-Risk
INV000863,,Healthy
INV000864,40.8,At-Risk
INV000865,45.75,At-Risk
INV000866,,Healthy
INV000867,234.0,At-Risk
INV000868,,Healthy
INV000869,65.4,At-Risk
INV000870,68.0,At-Risk
INV000871,,Healthy
INV000872,,Healthy
INV000873,73.5,At-Risk
INV000874,62.125,At-Risk
INV000875,,Healthy
INV000876,48.666666666666664,At-Risk
INV000877,59.4,At-Risk
INV000878,66.0,At-Risk
INV000879,85.0,At-Risk
INV000880,141.33333333333334,At-Risk
INV000881,46.111111111111114,At-Risk
INV000882,,Healthy
INV000883,257.0,At-Risk
INV000884,38.0,At-Risk
INV000885,108.75,At-Risk
INV000886,,Healthy
INV000887,65.66666666666667,At-Risk
INV000888,80.33333333333333,At-Risk
INV000889,263.0,At-Risk
INV000890,24.5,Healthy
INV000891,126.66666666666667,At-Risk
INV000892,182.0,At-Risk
INV000893,59.5,At-Risk
INV000894,55.0,At-Risk
INV000895,204.5,At-Risk
INV000896,173.0,At-Risk
INV000897,124.5,At-Risk
INV000898,5.0,Healthy
INV000899,,Healthy
INV000900,131.0,At-Risk
INV000901,54.0,At-Risk
INV000902,73.0,At-Risk
INV000904,197.0,At-Risk
INV000905,,Healthy
INV000906,143.5,At-Risk
INV000907,59.2,At-Risk
INV000908,37.333333333333336,At-Risk
INV000909,131.0,At-Risk
INV000910,88.25,At-Risk
INV000911,,Healthy
INV000912,116.66666666666667,At-Risk
INV000913,152.66666666666666,At-Risk
INV000914,107.0,At-Risk
INV000915,130.33333333333334,At-Risk
INV000916,,Healthy
INV000918,56.0,At-Risk
INV000919,110.0,At-Risk
INV000920,75.6,At-Risk
INV000921,290.0,At-Risk
INV000922,100.0,At-Risk
INV000923,,Healthy
INV000924,,Healthy
INV000925,107.5,At-Risk
INV000926,80.0,At-Risk
INV000927,36.75,At-Risk
INV000928,,Healthy
INV000929,58.166666666666664,At-Risk
INV000930,32.42857142857143,Healthy
INV000931,86.25,At-Risk
INV000933,199.0,At-Risk
INV000934,59.0,At-Risk
INV000935,30.875,Healthy
INV000936,,Healthy
INV000937,,Healthy
INV000938,153.0,At-Risk
INV000939,60.57142857142857,At-Risk
INV000940,,Healthy
INV000941,455.0,At-Risk
INV000942,53.0,At-Risk
INV000943,,Healthy
INV000944,165.0,At-Risk
INV000945,,Healthy
INV000946,129.0,At-Risk
INV000947,127.33333333333333,At-Risk
INV000948,17.0,Healthy
INV000949,67.5,At-Risk
INV000950,91.0,At-Risk
INV000951,,Healthy
INV000953,141.5,At-Risk
INV000954,126.75,At-Risk
INV000955,186.5,At-Risk
INV000956,,Healthy
INV000957,114.66666666666667,At-Risk
INV000958,164.0,At-Risk
INV000959,48.0,At-Risk
INV000960,110.5,At-Risk
